mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.16653084754943848,0.01203664780624215,0.008107614517211915,0.0008488396739338978,0.1,scale,linear,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.7794035070831529,0.7711762344439984,0.7636937470962367,0.7027825975194396,0.7584541062801933,0.7551020384846042,0.027097301969266314,1
0.28182129859924315,0.026921995512975746,0.03438730239868164,0.004683436934886108,0.1,scale,rbf,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7268813058286743,0.6758703481392557,0.7063036096493346,0.6277081231685642,0.7279825908858166,0.6929491955343291,0.03769655641306106,15
0.21372685432434083,0.03288806550220056,0.012002897262573243,0.0021497190293375225,0.1,auto,linear,"{'clf__C': 0.1, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.7794035070831529,0.7711762344439984,0.7636937470962367,0.7027825975194396,0.7584541062801933,0.7551020384846042,0.027097301969266314,1
0.3225725173950195,0.07115649739461843,0.034868621826171876,0.007516849719450276,0.1,auto,rbf,"{'clf__C': 0.1, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.7623229507404243,0.6641289744738021,0.7040172561994194,0.639144326051347,0.7129735935706085,0.6965174202071202,0.04242193861783664,14
0.3895594120025635,0.06093320377546191,0.006286430358886719,0.0006705020805237796,1.0,scale,linear,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.7833204930662558,0.7752953261427837,0.7558085539062624,0.7020933977455717,0.750402576489533,0.7533840694700814,0.02836121667993952,3
0.20503745079040528,0.04329005433967491,0.022098541259765625,0.0019156278867306707,1.0,scale,rbf,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7439344472184879,0.7135757047651321,0.7312733631740226,0.6668004817342432,0.7631473303894019,0.7237462654562575,0.03275034775164925,11
0.48853235244750975,0.04810178658238347,0.0074770450592041016,0.0008202473876568154,1.0,auto,linear,"{'clf__C': 1, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.7833204930662558,0.7752953261427837,0.7558085539062624,0.7020933977455717,0.750402576489533,0.7533840694700814,0.02836121667993952,3
0.2620705127716064,0.024233552596442866,0.030228233337402342,0.0029381650491269343,1.0,auto,rbf,"{'clf__C': 1, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.7679405927917546,0.7126483301225495,0.7434088139072423,0.6430347660072837,0.7465359918891518,0.7227136989435964,0.04356903798586348,12
3.6607476234436036,0.7292551467541027,0.00930471420288086,0.002366354948507989,10.0,scale,linear,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.779205138498595,0.7711762344439984,0.7517457876865911,0.6982571332013712,0.7545824683371152,0.7509933524335342,0.028276528534851013,7
0.17858920097351075,0.011639803169589905,0.020092058181762695,0.0012971822294433148,10.0,scale,rbf,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7556833656418719,0.7665056360708535,0.7599385442673324,0.6876801845089371,0.7548665027085242,0.7449348466395038,0.028922913711802507,9
2.6047757625579835,0.3407353630657592,0.005949687957763672,0.0004466680904269299,10.0,auto,linear,"{'clf__C': 10, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.779205138498595,0.7711762344439984,0.7517457876865911,0.6982571332013712,0.7545824683371152,0.7509933524335342,0.028276528534851013,7
0.2335731029510498,0.0033559887495138822,0.019846487045288085,0.001218277034673399,10.0,auto,rbf,"{'clf__C': 10, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.7434088139072423,0.702457539886773,0.6996106954613179,0.6476391825229034,0.7159590981101278,0.7018150659776728,0.03121022871429972,13
22.700584888458252,1.5478762281380858,0.007447147369384765,0.0014689624505802618,100.0,scale,linear,"{'clf__C': 100, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.779205138498595,0.7711762344439984,0.7517457876865911,0.7020933977455717,0.7584541062801933,0.7525349329309898,0.02697704884650531,5
0.20312261581420898,0.01988175710878438,0.019434070587158202,0.0034619429358226515,100.0,scale,rbf,"{'clf__C': 100, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7555266996906009,0.7828744209984559,0.7437375872893843,0.6748293857888398,0.750402576489533,0.7414741340513628,0.03588264520977862,10
23.17148609161377,2.48539880251209,0.007354259490966797,0.0025057447260500468,100.0,auto,linear,"{'clf__C': 100, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.779205138498595,0.7711762344439984,0.7517457876865911,0.7020933977455717,0.7584541062801933,0.7525349329309898,0.02697704884650531,5
0.40670146942138674,0.02228207104331888,0.02822589874267578,0.0029204350427486695,100.0,auto,rbf,"{'clf__C': 100, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.6716637837145236,0.6570976747188201,0.6593404831754277,0.5993589743589745,0.6838735494197679,0.6542668930775027,0.029078652247958615,16
